Product Name,Product Link,Product_Description,Product Comment,Product Review,Product Upvotes
OK Google,https://www.producthunt.com/products/ok-google#ok-google,Explore over 150 Google Now voice commands in one place,78,,"1,470"
Personal.ai,https://www.producthunt.com/products/personal-ai#personal-ai-2,Remember everything with your own personal AI,423,27 reviews,"1,878"
Gmail 5.0,https://www.producthunt.com/products/gmail#gmail-5-0,A facelift for Gmail on iOS,127,,"1,493"
Voiceflow,https://www.producthunt.com/products/voiceflow#voiceflow-2,Build voice apps in your browser without coding,149,26 reviews,"1,929"
Make OS X Great Again,https://www.producthunt.com/products/make-os-x-great-again#make-os-x-great-again,Fix the things that make 🍎 OS X annoying,111,20 reviews,"1,512"
Google Tasks for Mobile,https://www.producthunt.com/products/google-tasks#google-tasks-for-mobile,"Any task, any goal. Get things done.",76,7 reviews,"1,491"
Refined Twitter,https://www.producthunt.com/products/refined-twitter#refined-twitter,A browser extension that improves the Twitter experience,49,4 reviews,"1,538"
VisualSitemaps,https://www.producthunt.com/products/visualsitemaps#visualsitemaps,Autogenerate visual sitemaps in seconds.,71,17 reviews,"1,704"
Productivity Tools by Dropbox,https://www.producthunt.com/products/dropbox#productivity-tools-by-dropbox,"Scan, share, collaborate & provide feedback on your ideas",54,,"1,573"
Throttle,https://www.producthunt.com/products/throttle#throttle,Stop giving out your email address,144,3 reviews,"1,400"
Phantombuster,https://www.producthunt.com/products/phantombuster#phantombuster-2,A marketplace of simple to use no-code APIs,112,41 reviews,"1,627"
Opera Reborn,https://www.producthunt.com/products/opera#opera-reborn,"New version of Opera, codenamed Reborn, now with messaging",89,2 reviews,"1,476"
Notion Template Gallery,https://www.producthunt.com/products/notion#notion-template-gallery,"Built by our community, editable by you",55,9 reviews,"3,153"
CleanMyMac 3,https://www.producthunt.com/products/macpaw#cleanmymac-3,"Clean, optimize, and maintain your Mac.",58,3 reviews,"1,866"
Design Camera,https://www.producthunt.com/products/design-camera#design-camera-2,Drag and drop 3D mockups,55,12 reviews,"1,486"
Hangouts Chat by Google,https://www.producthunt.com/products/google#hangouts-chat-by-google-2,Intelligent team communication,115,7 reviews,"1,485"
ResumeMaker.Online,https://www.producthunt.com/products/resumemaker-online#resumemaker-online,Design your resume in real time & download a print-ready PDF,67,8 reviews,"1,515"
Around 2.0,https://www.producthunt.com/products/around-co#around-2-0,Video calls for the future of hybrid-remote work,186,18 reviews,"1,432"
illustrio,https://www.producthunt.com/products/illustrio#illustrio-3,Infinitely customizable graphics for everyone,83,1 review,"1,823"
Lucky Carrot,https://www.producthunt.com/products/lucky-carrot#lucky-carrot,"Make employees super engaged, recognized, and appreciated",262,17 reviews,"2,845"
Fig,https://www.producthunt.com/products/fig#fig-8,Autocomplete for the Terminal,185,12 reviews,"1,408"
productboard 2.0,https://www.producthunt.com/products/productboard#productboard-2-0,The product management system for makers who care,71,14 reviews,"2,112"
Work in Progress,https://www.producthunt.com/products/wip#work-in-progress-2,A community of makers shipping together 🚧,113,20 reviews,"1,765"
Slides,https://www.producthunt.com/products/slides-ai#slides-76cd4756-17e0-43b9-a93e-e1a4aa459907,Create beautiful pitch decks that close deals,73,9 reviews,"1,529"
Trends.vc 2.0,https://www.producthunt.com/products/trends-vc#trends-vc-2-0,Discover new markets and ideas,324,33 reviews,"1,711"
Softr Mobile,https://www.producthunt.com/products/softr#softr-mobile,"Create Airtable powered mobile apps, without code",305,1 review,"1,495"
Huntr,https://www.producthunt.com/products/huntr#huntr-3,A Kanban board for your job applications,55,4 reviews,"1,418"
STUDIO 2.0,https://www.producthunt.com/products/studio-2#studio-2-0-2,Design to live website in one click.,135,24 reviews,"1,754"
Obsidian for Mobile,https://www.producthunt.com/products/obsidian#obsidian-for-mobile,"Your plain-text second brain on the go, for iOS and Android",105,17 reviews,"1,675"
Memory by Timely,https://www.producthunt.com/products/timely-2#memory-by-timely,An intelligent timeline of everything you did in a day.,96,2 reviews,"1,434"
Remote Starter Kit,https://www.producthunt.com/products/remote-starter-kit#remote-starter-kit,The ultimate list of tools and processes for remote teams,43,3 reviews,"2,034"
mssg.me,https://www.producthunt.com/products/mssg-me#mssg-me,Easiest way to gather all your messengers with one link,134,,"1,446"
Fantastical 2 for Mac,https://www.producthunt.com/products/flexibits#fantastical-2-for-mac,The calendar app you won't be able to live without,48,1 review,"1,407"
Spatial Beta,https://www.producthunt.com/products/spatial-beta#spatial-beta,Collaborate from anywhere in AR,71,4 reviews,"1,548"
Taskade 3.0,https://www.producthunt.com/products/taskade#taskade-3-0,"All-in-one collaboration. Chat, organize, get things done!",320,43 reviews,"2,791"
tray.io,https://www.producthunt.com/products/tray-io#tray-io-2,Build powerful integrations between any service,47,,"1,402"
Krisp  Windows,https://www.producthunt.com/products/krisp#krisp-windows,Mute background noise during calls,102,18 reviews,"1,711"
Summari,https://www.producthunt.com/products/summari#summari,Instantly summarize any article or webpage in one click,369,19 reviews,"1,535"
Browse AI,https://www.producthunt.com/products/browse-ai#browse-ai,Train a robot to scrape any website in 2 mins with no-code,129,16 reviews,"1,707"
Simple Scraper,https://www.producthunt.com/products/simplescraper#simple-scraper,Turn any website into an API in just a few seconds.,62,2 reviews,"1,422"
Acapela,https://www.producthunt.com/products/acapela#acapela,The central inbox for all your work tools,247,10 reviews,"1,519"
Airtable,https://www.producthunt.com/products/airtable#airtable,Realtime spreadsheet-database hybrid,69,19 reviews,"1,509"
Freelancer Resources List,https://www.producthunt.com/products/fyi#freelancer-resources-list,The biggest collection of free resources for freelancers,17,1 review,"1,425"
Shots,https://www.producthunt.com/products/shots-4#shots-5,Turn designs into code 🚀,44,7 reviews,"1,562"
Operator,https://www.producthunt.com/products/operator-pre-launch#operator-2,Looking for something? Make a request and we'll find it.,23,,"1,167"
1Password 7 for Mac and Windows,https://www.producthunt.com/products/1password#1password-7-for-mac-and-windows,Save your passwords and log in to sites with a single click,83,11 reviews,"1,428"
Notion 2.3,https://www.producthunt.com/products/notion#notion-2-3,"Notions big update, now with Evernote import and web clipper",76,6 reviews,"1,416"
Canny,https://www.producthunt.com/products/canny#canny-3,The easiest way to collect & manage feedback,76,2 reviews,"1,437"
Docusaurus,https://www.producthunt.com/products/docusaurus#docusaurus,Easy to maintain open source documentation websites,9,,"1,360"
Outflow 3.0,https://www.producthunt.com/products/outflow#outflow-3-0,An app to keep track of all your subscriptions,60,,"1,407"
Templates for Gmail,https://www.producthunt.com/products/templates-for-gmail#templates-for-gmail,Create & customize Gmail templates that live in your inbox 💌,81,,"1,334"
WALTR 2,https://www.producthunt.com/products/softorino#waltr-2,Transfer any content to your iOS device without iTunes,78,2 reviews,"1,384"
CleanShot,https://www.producthunt.com/products/cleanshot#cleanshot,Discover a superior way to capture your Mac's screen 🚀,45,9 reviews,"1,405"
UI Jar,https://www.producthunt.com/products/ui-jar#ui-jar,Hand-picked design inspiration for your real life projects,29,2 reviews,"1,359"
Flat UI Colors 2,https://www.producthunt.com/products/flat-ui-colors#flat-ui-colors-2,280 handpicked colors ready for copy & paste,26,10 reviews,"1,481"
Stride,https://www.producthunt.com/products/the-paws-project#stride-3,Atlassian's new group messaging and video meeting platform,101,5 reviews,"1,394"
BookAuthority,https://www.producthunt.com/products/bookauthority#bookauthority,Personalized book recommendations from top industry leaders,113,2 reviews,"1,363"
Overkill,https://www.producthunt.com/products/overkill#overkill,Instantly kill iTunes once it launches 💥🎵,87,,"1,339"
Retool,https://www.producthunt.com/products/retool#retool-2,Build custom internal tools in minutes.,27,2 reviews,"1,453"
Toy Faces Library,https://www.producthunt.com/products/unicorn-vector-gradients#toy-faces-library,A fun diverse library of 3D avatars for your design mockups.,115,6 reviews,"1,401"
Text to Podcast Extension by Podcastle,https://www.producthunt.com/products/podcastle#text-to-podcast-extension-by-podcastle,Convert news/articles to a podcast using machine learning,185,8 reviews,"1,540"
Fidget Cube,https://www.producthunt.com/products/fidget-cube#fidget-cube,"An unusually addicting, high-quality desk toy",59,1 review,"1,376"
Erase.bg,https://www.producthunt.com/products/erase-bg#erase-bg,"AI Powered image background removal tool, 100% free",202,28 reviews,"1,456"
Actiondesk,https://www.producthunt.com/products/actiondesk#actiondesk,A spreadsheet natively connected with apps & data sources,57,12 reviews,"1,820"
Spider Pro,https://www.producthunt.com/products/spider-pro#spider-pro,The easiest way to scrape the internet.,98,3 reviews,"1,356"
Multi-Step Zaps by Zapier,https://www.producthunt.com/products/zapier#multi-step-zaps-by-zapier,The easiest way to build powerful workflows with your apps,55,,"1,295"
FlutterFlow 2.0,https://www.producthunt.com/products/flutterflow#flutterflow-2-0,Build beautiful and functional native apps online,153,19 reviews,"1,522"
Conduit,https://www.producthunt.com/products/conduit-2#conduit-2,Your data-driven AI chief of staff,143,2 reviews,"1,308"
The Almanack of Naval Ravikant,https://www.producthunt.com/products/the-almanack-of-naval-ravikant#the-almanack-of-naval-ravikant,"All of Naval's greatest wisdom, curated in a book",59,5 reviews,"1,330"
Tome,https://www.producthunt.com/products/tome#tome,The storytelling tool for work,178,6 reviews,"1,329"
ProductPlan Product Roadmap Software,https://www.producthunt.com/products/productplan#productplan-product-roadmap-software,"Easiest way to plan, visualize, & share your product roadmap",46,8 reviews,"1,326"
adJelly Size Guide 2.0 ⚡,https://www.producthunt.com/products/adjelly-size-guide#adjelly-size-guide-2-0,The ultimate social & digital ad size guide!,91,,"1,460"
Control Illustrations,https://www.producthunt.com/products/control-illustrations#control-illustrations,108 free flat illustrations with customizable characters,24,3 reviews,"1,345"
Snapboard,https://www.producthunt.com/products/snapboard-2#snapboard-2,An editable/hackable dashboard - unlimited & free,46,1 review,"1,364"
Reform,https://www.producthunt.com/products/reform#reform,"Clean-looking, on-brand forms. No code required.",164,18 reviews,"1,461"
Slash,https://www.producthunt.com/products/getslash-co#slash-904b91c8-4031-4e3b-b262-59f4bae85d22,A productivity machine that forces you to do tasks 1-by-1,179,16 reviews,"1,460"
Listly Chrome Extension,https://www.producthunt.com/products/listly-chrome-extension#listly-chrome-extension,Convert webpages into Excel data in seconds,11,3 reviews,"1,301"
PixelSnap 2,https://www.producthunt.com/products/pixelsnap#pixelsnap-2,The fastest tool for measuring anything on your screen ✨,39,6 reviews,"1,347"
Magic Spreadsheet,https://www.producthunt.com/products/magic-spreadsheet#magic-spreadsheet,Human workforce and AI plugged into your Google Spreadsheets,55,,"1,314"
Daybridge,https://www.producthunt.com/products/daybridge#daybridge,"A calendar built for people, not companies.",68,5 reviews,"1,478"
Planyway,https://www.producthunt.com/products/planyway#planyway-1,Google Calendar inside your Trello,55,14 reviews,"1,384"
You Need A Wiki,https://www.producthunt.com/products/you-need-a-wiki#you-need-a-wiki,Create a wiki with Google Docs,100,3 reviews,"1,296"
Jamboard (Pre-Launch),https://www.producthunt.com/products/g-suite#jamboard-pre-launch,Google's new 4K digital whiteboard,53,,"1,196"
Automa,https://www.producthunt.com/products/automa#automa-2,A chrome extension for automating your browser,67,9 reviews,"1,275"
AnyPicker,https://www.producthunt.com/products/anypicker#anypicker,"Scrape web data without any code, just click what you see.",60,5 reviews,"1,358"
Bubbles,https://www.producthunt.com/products/bubbles#bubbles-4,Simple video and screen capture collaboration,148,24 reviews,"1,439"
Coupons at Checkout,https://www.producthunt.com/products/coupons-at-checkout#coupons-at-checkout,Auto-magically finds coupon codes during online checkout,29,,"1,269"
Py,https://www.producthunt.com/products/droopy#py-2,Learn anything on your phone 📱 from Swift to Astrophysics 🚀,67,,"1,548"
Quick Code,https://www.producthunt.com/products/quick-code#quick-code,Curated list of free online programming courses,31,1 review,"1,298"
Save Emails to PDF by cloudHQ,https://www.producthunt.com/products/cloudhq#save-emails-to-pdf-by-cloudhq,Convert Gmail to PDF (locally),76,2 reviews,"1,510"
Obsidian,https://www.producthunt.com/products/obsidian#obsidian-3,A powerful knowledge base that works on local Markdown files,96,33 reviews,"1,990"
Reports for Notion,https://www.producthunt.com/products/vizydrop#reports-for-notion,Interactive charts and tables embedded into Notion.so pages,37,,"1,303"
Left,https://www.producthunt.com/products/itch-io#left,A minimalist multi-platform text editor,53,8 reviews,"1,288"
Effortless,https://www.producthunt.com/products/effortless#effortless,Stay focused and beat procrastination on your Mac.,76,15 reviews,"1,276"
Kairn,https://www.producthunt.com/products/kairn#kairn-2,Regain control over your days,328,28 reviews,"1,295"
Gone,https://www.producthunt.com/products/gone-2#gone-2,An ephemeral to-do list,78,15 reviews,"1,302"
Gather,https://www.producthunt.com/products/ugmonk-messenger-bag#gather-407a2271-99db-4712-9e7d-37bb4542f07e,"The minimal, modular organizer that cuts through the clutter",78,,"1,262"
Fast,https://www.producthunt.com/products/fast#fast-1,World's fastest login and checkout,96,8 reviews,"1,390"
Investor Hunt,https://www.producthunt.com/products/investor-scout#investor-hunt,A database of 40k+ investors to raise your seed round 💰,96,9 reviews,"1,311"
Idea Generator,https://www.producthunt.com/products/board-of-innovation#idea-generator,Level up the quantity and quality of your ideation sessions.,14,5 reviews,"1,262"
Removal.ai,https://www.producthunt.com/products/transparent-background-maker#removal-ai-1,API for bulk image background removal,76,11 reviews,"1,354"
Norm,https://www.producthunt.com/products/norm#norm-1,A solid-stone desk with built-in tech to get more done,121,9 reviews,"1,329"
FlowMapp,https://www.producthunt.com/products/flowmapp#flowmapp-3,UX planning tool for creating a visual sitemap,63,10 reviews,"1,249"
Zen Flowchart,https://www.producthunt.com/products/zen-flowchart#zen-flowchart,The simplest tool to create flowcharts,57,4 reviews,"1,279"
PixaTool,https://www.producthunt.com/products/itch-io#pixatool,Convert any image or video into pixel art 👾,33,1 review,"1,338"
SlideCamp,https://www.producthunt.com/products/slidecamp#slidecamp,Library of PowerPoint slides to kickstart your presentation.,42,1 review,"1,215"
Dorik 2.0,https://www.producthunt.com/products/dorik#dorik-2-0,Build beautiful websites with unlimited pages without code,199,17 reviews,"1,418"
Shortcuts.design,https://www.producthunt.com/products/shortcuts-design#shortcuts-design,Every shortcut for designers in one place!,18,,"1,219"
Amazon Prime Rewards Card,https://www.producthunt.com/products/amazon-prime-rewards-card#amazon-prime-rewards-card,Get 5% cashback on all Amazon purchases 💳,102,1 review,"1,174"
Auto Publish for Instagram by Later,https://www.producthunt.com/products/later#auto-publish-for-instagram-by-later,Schedule Instagram posts - no notifications required!,52,8 reviews,"1,322"
Fiverr Business,https://www.producthunt.com/products/fiverr#fiverr-business,One workspace connecting business teams to freelance talent,73,13 reviews,"2,153"
Investor Pitch Training,https://www.producthunt.com/products/basetemplates#investor-pitch-training,Practice your pitch with 200+ real investor questions,130,2 reviews,"1,305"
Station,https://www.producthunt.com/products/station-3#station-4,One app to rule them all,48,40 reviews,"1,607"
Canary Mail,https://www.producthunt.com/products/canary-mail#canary-mail-2,"Easy, elegant email for Mac",181,3 reviews,"1,189"
Akiflow 2.0,https://www.producthunt.com/products/akiflow#akiflow-2-0,All your tasks and calendars into one blazingly fast app,202,24 reviews,"1,623"
Stack Overflow for Teams,https://www.producthunt.com/products/stack-overflow#stack-overflow-for-teams,Everything you love about Stack Overflow in a private space.,27,2 reviews,"1,263"
Mailmeteor,https://www.producthunt.com/products/mailmeteor-mail-merge-for-gmail#mailmeteor,Send hundreds of personalized emails with Gmail.,143,16 reviews,"1,349"
STUDIO,https://www.producthunt.com/products/studio-2#studio-4,Next generation design tool for digital products,71,,"1,687"
Bench,https://www.producthunt.com/products/bench#bench-4,Rapid fire meetings to get shit done,133,,"1,215"
Superpowered,https://www.producthunt.com/products/superpowered-2#superpowered-2,Power through the day without your calendar,217,29 reviews,"1,280"
Mapus,https://www.producthunt.com/products/mapus#mapus,An open source map tool with real-time collaboration,86,16 reviews,"1,318"
Alfread,https://www.producthunt.com/products/alfread#alfread,Actually read articles saved for later,284,15 reviews,"1,263"
Bootstrappers,https://www.producthunt.com/products/bootstrappers#bootstrappers-2,Publication dedicated to bootstrapping founders,219,16 reviews,"1,444"
Kickresume,https://www.producthunt.com/products/kickresume#kickresume-3,Create an outstanding resume & cover letter in minutes,88,,"1,297"
Tabler,https://www.producthunt.com/products/tabler-2#tabler-3,Spice up your dashboard design for free!,27,,"1,504"
Topol.io,https://www.producthunt.com/products/topol-io#topol-io,Beautiful HTML e-mails easily,42,,"1,213"
Integrately (Zapier Alternative),https://www.producthunt.com/products/integrately-1-click-integration#integrately-zapier-alternative,8 million+ ready automations for 500+ apps,404,110 reviews,"2,129"
Notion Pages,https://www.producthunt.com/products/notion-pages#notion-pages,"Discover new, productive Notion templates",59,4 reviews,"1,195"
MindFi,https://www.producthunt.com/products/mindfi#mindfi,Meditate with open eyes. Be productive.,79,9 reviews,"1,301"
Lazy,https://www.producthunt.com/products/lazy#lazy,Control your environment with one easy keyboard shortcut,114,11 reviews,"1,348"
AppLaunchpad,https://www.producthunt.com/products/applaunchpad#applaunchpad,Create free beautiful screenshots for App store/Google play,113,3 reviews,"1,461"
Switchboard,https://www.producthunt.com/products/switchboard#switchboard-4,Turn your phone into a handsfree intercom,81,15 reviews,"1,298"
Typefully,https://www.producthunt.com/products/typefully#typefully,"Write & publish great tweets, without distractions",79,11 reviews,"1,208"
Unlimited Email Tracker,https://www.producthunt.com/products/snov-io#unlimited-email-tracker,"Track opens and clicks, set reminders and delays in Gmail",71,8 reviews,"1,255"
Hemingway Editor 3.0,https://www.producthunt.com/products/hemingway-app#hemingway-editor-3-0,"Make your writing bold and clear, send to Medium/Wordpress",57,4 reviews,"1,167"
Unscreen Pro,https://www.producthunt.com/products/always-bring-sunscreen#unscreen-pro,Remove video backgrounds in full HD 🎬,37,4 reviews,"1,731"
Pilot,https://www.producthunt.com/products/pilot#pilot-6,"Bookkeeping for startups, powered by humans and software",39,5 reviews,"1,190"
ECLIPSE,https://www.producthunt.com/products/pop-handset#eclipse-4,Say goodbye to messy cables,50,1 review,"1,164"
Linear,https://www.producthunt.com/products/linear#linear-3,Streamlined issue tracking for software teams,78,9 reviews,"1,186"
Infinity Maps,https://www.producthunt.com/products/infinity-maps#infinity-maps,If Miro and Notion had a baby,332,17 reviews,"1,544"
Unroll.Me for iOS,https://www.producthunt.com/products/unroll-me#unroll-me-for-ios,Unsubscribe from emails with a single swipe,51,2 reviews,"1,115"
RapidAPI Marketplace,https://www.producthunt.com/products/rapidapi#rapidapi-marketplace,"Discover, test and connect to the world's top APIs",99,,"2,140"
Warp,https://www.producthunt.com/products/warp#warp,The terminal for the 21st century,108,19 reviews,"1,186"
Siftery Trending Products,https://www.producthunt.com/products/siftery#siftery-trending-products,A real-time feed of the hottest business software,48,,"1,228"
Gigrove,https://www.producthunt.com/products/gigrove#gigrove,Effortless e-commerce for independents,60,1 review,"1,143"
Tech Blogs List,https://www.producthunt.com/posts/tech-blogs-list,"Curated list of 3,800+ tech journalists",43,,"1,200"
InVideo,https://www.producthunt.com/products/invideo#invideo,Create insanely good social videos in under 10 mins,368,91 reviews,"2,961"
Unminus Music,https://www.producthunt.com/products/unminus-music#unminus-music,Free Premium Music for Your Projects. Unsplash for Music.,49,3 reviews,"1,201"
Signaturely,https://www.producthunt.com/products/signaturely#signaturely,"Free eSignatures for life, free contract templates",136,24 reviews,"1,452"
Plutio,https://www.producthunt.com/products/plutio#plutio-6,One app to manage your entire small business 🎉,187,71 reviews,"1,801"
Hop,https://www.producthunt.com/products/hop-2#hop-3,"The new face of email is fast, elegant, powerful, expressive",172,1 review,"1,163"
Capsule.ai,https://www.producthunt.com/products/capsule-ai#capsule-ai-2,Remember everywhere you've been,146,,"1,181"
Product Hunt Tab,https://www.producthunt.com/products/product-hunt-tab#product-hunt-tab,A virtual co-working space in your browser's new tab,119,30 reviews,"1,180"
Glide,https://www.producthunt.com/products/peetch#glide-3c377038-b911-4136-8b95-3de7f8db6961,A collection of over 80 free powerpoint templates,44,8 reviews,"1,204"
FlowCV 2.0,https://www.producthunt.com/products/flowcv#flowcv-2-0,Infinitely customizable resume templates,80,14 reviews,"1,237"
Edit,https://www.producthunt.com/products/edit-1#edit-1-d23d187c-9e85-4f51-96ac-e5fcf1b8e6ea,"Edit any website, no code required",111,9 reviews,"1,214"
Glide 2.0,https://www.producthunt.com/products/glide-2#glide-2-0,"Create gorgeous, powerful apps for mobile & web without code",136,13 reviews,"1,254"
HyperTerm,https://www.producthunt.com/products/hyper#hyperterm,"Terminal emulator based on JS, HTML and CSS",31,,"1,225"
Snappr Photo Analyzer,https://www.producthunt.com/products/snappr#snappr-photo-analyzer,AI that tells you if your profile pic is actually any good,122,1 review,"1,171"
Dark Reader,https://www.producthunt.com/products/dark-reader#dark-reader-2,"Dark theme for every website, care for your eyes",49,10 reviews,"1,216"
Isoflow,https://www.producthunt.com/products/isoflow#isoflow,Create beautiful cloud diagrams in minutes,95,6 reviews,"1,159"
Photopea,https://www.producthunt.com/products/photopea#photopea-3,"An online, free, photoshop alternative that anyone can use.",58,14 reviews,"1,234"
2000 (!) Slack Groups,https://www.producthunt.com/products/standuply#2000-slack-groups,The largest curated list of verified Slack groups,30,2 reviews,"1,253"
Grammarly,https://www.producthunt.com/products/grammarly#grammarly,"Clear, effective, mistake-free writing.",51,18 reviews,"1,215"
BLACKBOX,https://www.producthunt.com/products/blackbox-5#blackbox-911a10da-59fa-49b1-96ff-f944f07f4c7b,Fastest way to copy text from anywhere,286,41 reviews,"2,460"
Milanote 2.0,https://www.producthunt.com/products/milanote#milanote-2-0,Organize your ideas & projects into beautiful visual boards.,66,14 reviews,"1,204"
Standuply 3.0,https://www.producthunt.com/products/standuply#standuply-3-0,The future of remote work. Put management on autopilot.,89,9 reviews,"1,197"
Claap,https://www.producthunt.com/products/claap#claap,Async video collaboration for hybrid teams,454,38 reviews,"1,306"
Startup Demo Videos 💡,https://www.producthunt.com/products/kapwing#startup-demo-videos,Demo videos from the early days of successful startups,16,2 reviews,"1,134"
Graphmented,https://www.producthunt.com/products/graphmented#graphmented,Create stunning charts using AR (Patent Pending).,44,8 reviews,"1,164"
Sidemail,https://www.producthunt.com/products/sidemail-status#sidemail,Quick & easy email for all your side projects,46,8 reviews,"1,156"
Whimsical Mind Maps,https://www.producthunt.com/products/whimsical#whimsical-mind-maps,Fast & beautiful mind maps with real-time collaboration,29,5 reviews,"1,193"
SlidesPPT,https://www.producthunt.com/products/slidesppt#slidesppt,Beautiful free presentation templates for Google Slides,14,6 reviews,"1,160"
CopyAI,https://www.producthunt.com/products/mark-copy#copyai,GPT-3 powered tools to help you with your copywriting,182,23 reviews,"1,640"
WeWeb,https://www.producthunt.com/products/weweb-io#weweb,Create websites faster with a next-generation visual builder,226,21 reviews,"1,215"
Bookstash,https://www.producthunt.com/products/bookstash#bookstash,Get the essentials of top books in under 3 minutes,182,15 reviews,"1,413"
Mixmax Calendar,https://www.producthunt.com/products/mixmax#mixmax-calendar,"The fastest way to schedule meetings with anyone, anywhere",71,,"1,136"
Agenda,https://www.producthunt.com/products/agenda#agenda-3,"Notes, your time has come",76,4 reviews,"1,143"
Walling 2.0,https://www.producthunt.com/products/walling#walling-2-0,Achieve more with your ideas.,106,16 reviews,"1,159"
ContentStudio 2.0,https://www.producthunt.com/products/contentstudio#contentstudio-2-0,The command center for your content and social team  🚩,100,46 reviews,"1,380"
Omni Calculator 2.0,https://www.producthunt.com/products/omni-calculator#omni-calculator-2-0,Your life in 777 free calculators,70,22 reviews,"1,488"
Qlearly,https://www.producthunt.com/products/qlearly#qlearly-3,A modern bookmarks and tabs manager ✨,144,25 reviews,"1,162"
Investor Scout,https://www.producthunt.com/products/investor-scout#investor-scout,A database of 45k+ investors to raise your seed round 💰,40,5 reviews,"1,153"
Pomodoro Time,https://www.producthunt.com/products/pomodoro-time#pomodoro-time-2,Simple Pomodoro timer in your Mac's menu bar,33,1 review,"1,091"
The 25 Days of Ideas,https://www.producthunt.com/products/the-25-days-of-ideas#the-25-days-of-ideas,Free resources for coming up with startup ideas,27,1 review,"1,111"
Kampsite,https://www.producthunt.com/products/kampsite#kampsite,Start building features your users actually want.,82,3 reviews,"1,145"
Productivity.so,https://www.producthunt.com/products/amie-2#productivity-so,Shortcuts and hacks for your favorite tools,87,5 reviews,"1,214"
SwiftCV,https://www.producthunt.com/products/swiftcv#swiftcv,Create beautiful & responsive web resumes in minutes,58,4 reviews,"1,134"
HoverCards,https://www.producthunt.com/products/hovercards#hovercards,Get more content. Open fewer tabs.,47,,"1,048"
Planable,https://www.producthunt.com/products/planable#planable,The command center for your social media team,91,24 reviews,"1,308"
Startup Patterns,https://www.producthunt.com/products/startup-patterns#startup-patterns,Bite-sized startup lessons for busy founders,101,1 review,"1,454"
i Hate Regex,https://www.producthunt.com/products/i-hate-regex#i-hate-regex,regex cheatsheet for the haters,97,4 reviews,"1,163"
Fathom,https://www.producthunt.com/products/fathom-3#fathom-2,Never take notes on a Zoom call again,311,62 reviews,"1,372"
Taskful,https://www.producthunt.com/products/taskful-the-smart-to-do-list#taskful,A smart to-do list that divides up your tasks for the day,345,,"1,141"
Google Pixel 2,https://www.producthunt.com/products/google#google-pixel-2,Ask more of your phone.,53,5 reviews,"1,127"
Time,https://www.producthunt.com/products/blue-cocoa#time,An AI-powered time-tracking app,92,2 reviews,"1,066"
Unicons,https://www.producthunt.com/products/iconscout#unicons,Opensource vector icons and icon-font library,23,3 reviews,"1,140"
Measure,https://www.producthunt.com/products/measure-2#measure-2,Measure anything with your phone. Made by Google.,21,,"1,171"
Sketch Confetti,https://www.producthunt.com/products/sketch-confetti#sketch-confetti,Generate gorgeous confetti patterns in 1 click.,17,,"1,099"
3dicons,https://www.producthunt.com/products/3dicons#3dicons,Open source 3D icon library with over 1440+ icons,102,11 reviews,"1,154"
ScreenFocus,https://www.producthunt.com/products/apptorium#screenfocus,Working with multiple monitors made right.,41,1 review,"1,104"
Startup Rocket Framework,https://www.producthunt.com/products/startup-rocket-framework#startup-rocket-framework,Framework to help entrepreneurs w/ the first critical steps,58,,"1,338"
Phone Call Translator,https://www.producthunt.com/products/lingvanex#phone-call-translator,Translates your voice calls into 29 languages in real-time,99,7 reviews,"1,294"
Noisli 2.0,https://www.producthunt.com/products/noisli#noisli-2-0,Improve focus and boost your productivity with ambient noise,44,4 reviews,"1,127"
Seeing AI,https://www.producthunt.com/products/windows-app-store#seeing-ai,"Talking camera for the blind, by Microsoft",46,,"1,114"
Inspect by InVision,https://www.producthunt.com/products/invision#inspect-by-invision,A magical new design to development workflow from InVision,51,,"1,340"
Presentations by Canva,https://www.producthunt.com/products/canva#presentations-by-canva,"Create beautiful, engaging presentations in minutes",116,13 reviews,"1,174"
Sblack,https://www.producthunt.com/products/sblack#sblack-2,"Ultra-lightweight Mac client for Slack, with Dark Mode.",64,9 reviews,"1,150"
Paste 2,https://www.producthunt.com/products/paste#paste-2-3,Smart cloud clipboard history and snippets manager for Mac,107,4 reviews,"1,075"
Polymail Web,https://www.producthunt.com/products/polymail#polymail-web,All-in-one email platform for sales communication,49,8 reviews,"1,088"
Infinity Dashboard,https://www.producthunt.com/products/fiplab#infinity-dashboard,A beautiful way to keep track of anything you want 📊,46,1 review,"1,126"
Brave,https://www.producthunt.com/products/brave-private-browser#brave-3,"Fast, safe, private browser",111,22 reviews,"1,359"
Tailwind CSS,https://www.producthunt.com/products/tailwind-css#tailwind-css,A utility-first CSS framework for rapid UI development,34,8 reviews,"1,172"
Loom for Slack,https://www.producthunt.com/products/loom#loom-for-slack,"One-click sharing & In-line video plays, now on Slack.",92,39 reviews,"1,210"
Lilium,https://www.producthunt.com/products/lilium#lilium,The world’s first electric vertical take-⁠off / landing jet,31,,"1,084"
Paperworks,https://www.producthunt.com/products/paperworks#paperworks,"All your receipts, invoices, and payments in one place.",80,,"1,038"
Blurt,https://www.producthunt.com/products/blurt#blurt,Writing tool optimized for productivity and focus,41,3 reviews,"1,159"
Zoom Apps Preview,https://www.producthunt.com/products/zoom#zoom-apps-preview,Build Apps on Zoom,104,1 review,"1,151"
